date,sku,units,promotion,unit_price,lead_time_days
2025-01-01,AS-001,15,0,42.0,5
2025-01-02,AS-001,12,0,42.0,5
2025-01-03,AS-001,11,0,42.0,5
2025-01-04,AS-001,10,0,42.0,5
2025-01-05,AS-001,11,0,42.0,5
2025-01-06,AS-001,12,0,42.0,5
2025-01-07,AS-001,14,0,42.0,5
2025-01-08,AS-001,15,0,42.0,5
2025-01-09,AS-001,13,0,42.0,5
2025-01-10,AS-001,11,0,42.0,5
2025-01-11,AS-001,9,0,42.0,5
2025-01-12,AS-001,9,0,42.0,5
2025-01-13,AS-001,13,0,42.0,5
2025-01-14,AS-001,13,0,42.0,5
2025-01-15,AS-001,16,0,42.0,5
2025-01-16,AS-001,13,0,42.0,5
2025-01-17,AS-001,10,0,42.0,5
2025-01-18,AS-001,11,0,42.0,5
2025-01-19,AS-001,10,0,42.0,5
2025-01-20,AS-001,12,0,42.0,5
2025-01-21,AS-001,15,0,42.0,5
2025-01-22,AS-001,15,0,42.0,5
2025-01-23,AS-001,14,0,42.0,5
2025-01-24,AS-001,12,0,42.0,5
2025-01-25,AS-001,10,0,42.0,5
2025-01-26,AS-001,11,0,42.0,5
2025-01-27,AS-001,10,0,42.0,5
2025-01-28,AS-001,16,0,42.0,5
2025-01-29,AS-001,16,0,42.0,5
2025-01-30,AS-001,15,0,42.0,5
2025-01-31,AS-001,12,0,42.0,5
2025-02-01,AS-001,9,0,42.0,5
2025-02-02,AS-001,8,0,42.0,5
2025-02-03,AS-001,12,0,42.0,5
2025-02-04,AS-001,13,0,42.0,5
2025-02-05,AS-001,17,0,42.0,5
2025-02-06,AS-001,14,0,42.0,5
2025-02-07,AS-001,11,0,42.0,5
2025-02-08,AS-001,11,0,42.0,5
2025-02-09,AS-001,13,0,42.0,5
2025-02-10,AS-001,13,0,42.0,5
2025-02-11,AS-001,15,0,42.0,5
2025-02-12,AS-001,17,0,42.0,5
2025-02-13,AS-001,14,0,42.0,5
2025-02-14,AS-001,12,0,42.0,5
2025-02-15,AS-001,11,0,42.0,5
2025-02-16,AS-001,9,0,42.0,5
2025-02-17,AS-001,14,0,42.0,5
2025-02-18,AS-001,15,0,42.0,5
2025-02-19,AS-001,15,0,42.0,5
2025-02-20,AS-001,15,0,42.0,5
2025-02-21,AS-001,13,0,42.0,5
2025-02-22,AS-001,10,0,42.0,5
2025-02-23,AS-001,12,0,42.0,5
2025-02-24,AS-001,12,0,42.0,5
2025-02-25,AS-001,15,0,42.0,5
2025-02-26,AS-001,17,0,42.0,5
2025-02-27,AS-001,12,0,42.0,5
2025-02-28,AS-001,13,0,42.0,5
2025-03-01,AS-001,12,0,42.0,5
2025-03-02,AS-001,12,0,42.0,5
2025-03-03,AS-001,13,0,42.0,5
2025-03-04,AS-001,16,0,42.0,5
2025-03-05,AS-001,15,0,42.0,5
2025-03-06,AS-001,14,0,42.0,5
2025-03-07,AS-001,12,0,42.0,5
2025-03-08,AS-001,10,0,42.0,5
2025-03-09,AS-001,12,0,42.0,5
2025-03-10,AS-001,13,0,42.0,5
2025-03-11,AS-001,16,0,42.0,5
2025-03-12,AS-001,15,0,42.0,5
2025-03-13,AS-001,15,0,42.0,5
2025-03-14,AS-001,13,0,42.0,5
2025-03-15,AS-001,11,0,42.0,5
2025-03-16,AS-001,12,0,42.0,5
2025-03-17,AS-001,13,0,42.0,5
2025-03-18,AS-001,18,0,42.0,5
2025-03-19,AS-001,17,0,42.0,5
2025-03-20,AS-001,14,0,42.0,5
2025-03-21,AS-001,12,0,42.0,5
2025-03-22,AS-001,11,0,42.0,5
